step,epoch,stage,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
67,1,pretrain_chestxray14,203.1,38780.13,0.247092,6.157853810264389e-06,1.711266,605.7,0.1057
68,1,pretrain_chestxray14,204.16,38406.14,0.206385,6.234836702954903e-06,1.358937,596.3,0.1073
69,1,pretrain_chestxray14,204.36,37883.86,0.167345,6.311819595645416e-06,1.019685,594.2,0.1077
70,1,pretrain_chestxray14,204.57,37376.97,0.195128,6.388802488335929e-06,1.550561,578.8,0.1106
71,1,pretrain_chestxray14,204.78,36886.02,0.155408,6.465785381026443e-06,1.520882,541.4,0.1182
72,1,pretrain_chestxray14,204.98,36406.13,0.170331,6.5427682737169565e-06,1.127448,557.9,0.1147
73,1,pretrain_chestxray14,205.17,35938.52,0.19017,6.619751166407469e-06,1.069935,601.9,0.1063
74,1,pretrain_chestxray14,205.37,35484.64,0.185922,6.696734059097982e-06,2.715897,611.1,0.1047
75,1,pretrain_chestxray14,205.58,35044.6,0.243896,6.773716951788496e-06,1.993541,558.6,0.1146
76,1,pretrain_chestxray14,205.77,34612.86,0.211768,6.850699844479008e-06,1.469032,612.8,0.1044
77,1,pretrain_chestxray14,205.98,34194.79,0.219862,6.927682737169521e-06,2.603316,590.0,0.1085
78,1,pretrain_chestxray14,206.86,33897.89,0.253346,7.004665629860035e-06,1.715398,633.3,0.1011
79,1,pretrain_chestxray14,207.06,33498.61,0.165823,7.081648522550547e-06,1.915285,632.6,0.1012
80,1,pretrain_chestxray14,207.26,33109.44,0.246578,7.15863141524106e-06,3.65514,637.7,0.1004
81,1,pretrain_chestxray14,207.46,32730.61,0.189796,7.235614307931573e-06,2.115285,635.0,0.1008
82,1,pretrain_chestxray14,224.47,34979.65,0.196152,7.312597200622086e-06,1.750543,511.8,0.125
83,1,pretrain_chestxray14,224.74,34595.86,0.162344,7.389580093312598e-06,2.130701,610.8,0.1048
84,1,pretrain_chestxray14,227.45,34594.16,0.249918,7.466562986003112e-06,1.45592,42.5,1.5064
85,1,pretrain_chestxray14,227.56,34201.12,0.255707,7.543545878693625e-06,2.533944,591.9,0.1081
86,1,pretrain_chestxray14,227.76,33830.89,0.127149,7.6205287713841375e-06,2.175932,583.9,0.1096
87,1,pretrain_chestxray14,227.97,33469.29,0.209367,7.697511664074651e-06,2.179492,574.5,0.1114
88,1,pretrain_chestxray14,228.16,33113.82,0.186455,7.774494556765165e-06,1.709178,640.1,0.1
89,1,pretrain_chestxray14,228.37,32769.41,0.176671,7.851477449455677e-06,2.994063,579.2,0.1105
90,1,pretrain_chestxray14,228.56,32429.99,0.244617,7.92846034214619e-06,1.822993,628.5,0.1018
91,1,pretrain_chestxray14,228.76,32099.23,0.21488,8.005443234836704e-06,1.353121,628.0,0.1019
92,1,pretrain_chestxray14,228.96,31776.01,0.150276,8.082426127527217e-06,1.734631,627.6,0.102
93,1,pretrain_chestxray14,229.16,31459.02,0.15376,8.159409020217731e-06,1.167061,643.7,0.0994
94,1,pretrain_chestxray14,229.36,31149.12,0.15107,8.236391912908245e-06,1.811947,642.9,0.0995
95,1,pretrain_chestxray14,229.56,30845.84,0.176716,8.313374805598758e-06,1.974593,640.0,0.1
96,1,pretrain_chestxray14,229.77,30549.55,0.150521,8.390357698289272e-06,1.497579,605.8,0.1057
97,1,pretrain_chestxray14,229.97,30258.42,0.1734,8.467340590979785e-06,1.438233,618.5,0.1035
98,1,pretrain_chestxray14,245.71,31997.46,0.148481,8.544323483670299e-06,1.2222,541.9,0.1181
99,1,pretrain_chestxray14,245.92,31698.6,0.156342,8.621306376360813e-06,1.585515,587.3,0.109
100,1,pretrain_chestxray14,246.6,31466.49,0.194191,8.698289269051326e-06,1.706172,598.0,0.107
101,1,pretrain_chestxray14,246.81,31178.52,0.166694,8.77527216174184e-06,1.020415,599.9,0.1067
102,1,pretrain_chestxray14,247.69,30981.12,0.164753,8.852255054432353e-06,1.347646,627.6,0.102
103,1,pretrain_chestxray14,247.91,30704.58,0.169336,8.929237947122865e-06,1.786794,544.7,0.1175
104,1,pretrain_chestxray14,248.11,30431.24,0.177931,9.006220839813379e-06,1.562952,582.6,0.1099
105,1,pretrain_chestxray14,248.3,30162.54,0.188497,9.083203732503892e-06,1.235356,622.8,0.1028
106,1,pretrain_chestxray14,248.5,29899.48,0.142542,9.160186625194406e-06,1.058247,639.1,0.1001
107,1,pretrain_chestxray14,248.7,29641.6,0.213996,9.237169517884918e-06,1.362182,639.1,0.1001
108,1,pretrain_chestxray14,249.43,29451.41,0.143848,9.314152410575431e-06,2.253616,635.9,0.1006
109,1,pretrain_chestxray14,249.63,29202.51,0.164229,9.391135303265943e-06,1.163144,628.5,0.1018
110,1,pretrain_chestxray14,249.84,28958.32,0.108653,9.468118195956455e-06,1.934909,636.7,0.1005
111,1,pretrain_chestxray14,250.04,28718.35,0.190667,9.545101088646969e-06,1.569476,630.4,0.1015
112,1,pretrain_chestxray14,250.24,28482.67,0.190417,9.622083981337482e-06,1.95757,624.0,0.1026
113,1,pretrain_chestxray14,250.44,28250.64,0.222802,9.699066874027996e-06,1.329804,643.8,0.0994
114,1,pretrain_chestxray14,265.97,29737.17,0.188988,9.77604976671851e-06,1.990306,567.1,0.1129
115,1,pretrain_chestxray14,267.3,29624.08,0.169424,9.853032659409022e-06,1.417469,591.3,0.1082
116,1,pretrain_chestxray14,267.54,29392.92,0.180656,9.930015552099535e-06,1.868693,569.0,0.1125
117,1,pretrain_chestxray14,269.43,29344.45,0.179082,1.0006998444790049e-05,1.131671,593.1,0.1079
118,1,pretrain_chestxray14,269.92,29147.23,0.180935,1.0083981337480562e-05,2.125795,589.0,0.1087
119,1,pretrain_chestxray14,270.12,28920.62,0.183526,1.0160964230171074e-05,2.403288,638.9,0.1002
120,1,pretrain_chestxray14,270.32,28698.62,0.247894,1.0237947122861588e-05,2.824704,637.3,0.1004
121,1,pretrain_chestxray14,270.53,28481.92,0.196784,1.0314930015552101e-05,2.256118,591.1,0.1083
122,1,pretrain_chestxray14,270.74,28267.78,0.13396,1.0391912908242615e-05,1.474788,565.3,0.1132
123,1,pretrain_chestxray14,270.93,28055.81,0.212501,1.0468895800933129e-05,1.317318,603.8,0.106
124,1,pretrain_chestxray14,271.13,27847.78,0.218122,1.0545878693623642e-05,1.883142,619.4,0.1033
125,1,pretrain_chestxray14,271.33,27643.01,0.164149,1.0622861586314156e-05,1.343355,631.5,0.1014
126,1,pretrain_chestxray14,271.53,27441.73,0.170652,1.069984447900467e-05,2.567764,632.7,0.1012
127,1,pretrain_chestxray14,271.73,27243.71,0.163588,1.0776827371695183e-05,1.407069,628.5,0.1018
128,1,pretrain_chestxray14,271.93,27048.83,0.165544,1.0853810264385695e-05,1.421274,621.6,0.103
129,1,pretrain_chestxray14,272.14,26857.07,0.171791,1.093079315707621e-05,1.128087,628.2,0.1019
130,1,pretrain_chestxray14,285.66,27972.52,0.127819,1.1007776049766722e-05,1.572291,584.1,0.1096
131,1,pretrain_chestxray14,289.66,28146.05,0.198588,1.1084758942457234e-05,1.006473,554.4,0.1155
132,1,pretrain_chestxray14,289.9,27953.4,0.140575,1.1161741835147748e-05,1.062664,543.5,0.1178
133,1,pretrain_chestxray14,292.43,27982.96,0.206339,1.123872472783826e-05,1.77749,553.2,0.1157
134,1,pretrain_chestxray14,292.64,27791.66,0.147718,1.1315707620528773e-05,1.783783,613.6,0.1043
135,1,pretrain_chestxray14,292.84,27602.65,0.182062,1.1392690513219285e-05,1.782357,630.3,0.1015
136,1,pretrain_chestxray14,293.06,27418.0,0.203112,1.1469673405909797e-05,2.61149,536.8,0.1192
137,1,pretrain_chestxray14,293.24,27233.01,0.159677,1.154665629860031e-05,1.196316,621.2,0.103
138,1,pretrain_chestxray14,293.44,27051.89,0.12934,1.1623639191290822e-05,1.897229,632.4,0.1012
139,1,pretrain_chestxray14,293.64,26873.56,0.202405,1.1700622083981334e-05,2.00802,630.2,0.1016
140,1,pretrain_chestxray14,293.85,26698.72,0.171239,1.1777604976671846e-05,2.120258,571.8,0.1119
141,1,pretrain_chestxray14,294.08,26527.59,0.252453,1.185458786936236e-05,2.628886,553.6,0.1156
142,1,pretrain_chestxray14,294.27,26356.08,0.162903,1.1931570762052872e-05,1.490278,610.9,0.1048
143,1,pretrain_chestxray14,294.47,26187.41,0.171447,1.2008553654743385e-05,1.367174,624.2,0.1025
144,1,pretrain_chestxray14,294.67,26021.32,0.263737,1.2085536547433899e-05,1.871673,622.1,0.1029
145,1,pretrain_chestxray14,294.89,25858.46,0.169861,1.2162519440124412e-05,1.209257,561.7,0.1139
146,1,pretrain_chestxray14,309.1,26917.25,0.176692,1.2239502332814926e-05,1.413166,472.9,0.1353
147,1,pretrain_chestxray14,314.63,27210.25,0.219957,1.2316485225505438e-05,1.696615,519.9,0.1231
148,1,pretrain_chestxray14,314.88,27045.6,0.186954,1.2393468118195952e-05,1.070098,510.6,0.1253
149,1,pretrain_chestxray14,316.45,26996.15,0.202778,1.2470451010886465e-05,1.365136,631.8,0.1013
150,1,pretrain_chestxray14,316.66,26831.92,0.213149,1.2547433903576979e-05,1.78325,575.4,0.1112
151,1,pretrain_chestxray14,316.89,26670.99,0.169893,1.2624416796267492e-05,1.568066,477.4,0.1341
152,1,pretrain_chestxray14,317.08,26509.14,0.187964,1.2701399688958006e-05,2.552926,547.8,0.1168
153,1,pretrain_chestxray14,317.28,26350.65,0.175383,1.277838258164852e-05,3.205165,547.2,0.117
154,1,pretrain_chestxray14,317.48,26193.97,0.157297,1.2855365474339031e-05,2.056999,558.7,0.1146
155,1,pretrain_chestxray14,317.67,26038.3,0.215074,1.2932348367029543e-05,1.60487,639.4,0.1001
156,1,pretrain_chestxray14,317.87,25886.33,0.174019,1.3009331259720057e-05,1.8808,597.7,0.1071
157,1,pretrain_chestxray14,318.07,25735.69,0.18031,1.308631415241057e-05,1.312782,602.6,0.1062
158,1,pretrain_chestxray14,318.28,25586.95,0.174455,1.3163297045101084e-05,1.115624,616.4,0.1038
159,1,pretrain_chestxray14,318.47,25439.74,0.135827,1.3240279937791596e-05,1.639071,641.9,0.0997
160,1,pretrain_chestxray14,318.67,25294.73,0.240503,1.331726283048211e-05,1.610728,637.3,0.1004
161,1,pretrain_chestxray14,318.9,25153.58,0.118771,1.3394245723172623e-05,0.896235,568.0,0.1127
162,1,pretrain_chestxray14,331.32,25969.63,0.211219,1.3471228615863138e-05,1.502063,573.7,0.1116
163,1,pretrain_chestxray14,336.77,26232.8,0.140382,1.3548211508553652e-05,1.104851,504.9,0.1268
164,1,pretrain_chestxray14,337.03,26090.74,0.237818,1.3625194401244166e-05,1.957246,445.1,0.1438
165,1,pretrain_chestxray14,338.46,26040.81,0.123331,1.370217729393468e-05,1.386742,590.5,0.1084
166,1,pretrain_chestxray14,338.65,25896.68,0.1102,1.3779160186625191e-05,1.540742,636.9,0.1005
167,1,pretrain_chestxray14,338.86,25755.48,0.152828,1.3856143079315703e-05,1.263984,584.0,0.1096
168,1,pretrain_chestxray14,339.07,25615.79,0.162741,1.3933125972006218e-05,2.349229,565.2,0.1132
169,1,pretrain_chestxray14,339.26,25476.53,0.136899,1.4010108864696732e-05,1.618992,621.5,0.103
170,1,pretrain_chestxray14,339.46,25339.48,0.197259,1.4087091757387247e-05,2.089457,637.7,0.1004
171,1,pretrain_chestxray14,339.66,25204.28,0.139171,1.4164074650077759e-05,1.426106,632.8,0.1011
172,1,pretrain_chestxray14,339.87,25071.27,0.250866,1.4241057542768273e-05,2.760679,580.0,0.1103
173,1,pretrain_chestxray14,340.07,24938.83,0.176051,1.4318040435458786e-05,1.973003,602.0,0.1063
174,1,pretrain_chestxray14,340.26,24807.82,0.110962,1.43950233281493e-05,1.425059,631.9,0.1013
175,1,pretrain_chestxray14,340.46,24678.59,0.197728,1.4472006220839813e-05,1.27082,637.1,0.1005
176,1,pretrain_chestxray14,340.66,24550.87,0.101318,1.4548989113530327e-05,1.929369,635.8,0.1007
177,1,pretrain_chestxray14,340.87,24425.14,0.162343,1.4625972006220839e-05,1.10476,594.1,0.1077
178,1,pretrain_chestxray14,353.51,25186.56,0.164599,1.4702954898911353e-05,1.881773,580.4,0.1103
179,1,pretrain_chestxray14,359.11,25440.46,0.196546,1.4779937791601868e-05,1.905044,550.7,0.1162
180,1,pretrain_chestxray14,359.33,25312.75,0.101967,1.4856920684292381e-05,1.519342,611.4,0.1047
181,1,pretrain_chestxray14,359.54,25185.85,0.221363,1.4933903576982895e-05,1.355723,600.4,0.1066
182,1,pretrain_chestxray14,359.74,25059.59,0.204773,1.5010886469673409e-05,2.139953,590.0,0.1085
183,1,pretrain_chestxray14,359.96,24935.45,0.134087,1.508786936236392e-05,1.604399,538.2,0.1189
184,1,pretrain_chestxray14,360.15,24811.38,0.11079,1.5164852255054434e-05,1.557999,583.4,0.1097
185,1,pretrain_chestxray14,360.35,24688.88,0.15067,1.5241835147744946e-05,1.376018,615.3,0.104
186,1,pretrain_chestxray14,360.55,24567.74,0.16518,1.531881804043546e-05,1.480936,628.6,0.1018
187,1,pretrain_chestxray14,360.75,24448.14,0.176948,1.5395800933125975e-05,1.902426,620.9,0.1031
188,1,pretrain_chestxray14,360.97,24330.73,0.122974,1.547278382581649e-05,0.887435,553.2,0.1157
189,1,pretrain_chestxray14,364.37,24428.24,0.242737,1.5549766718507002e-05,2.31399,584.0,0.1096
190,1,pretrain_chestxray14,364.59,24312.69,0.179133,1.5626749611197516e-05,2.018883,635.2,0.1008
191,1,pretrain_chestxray14,364.8,24196.99,0.159574,1.570373250388803e-05,1.846901,612.2,0.1045
192,1,pretrain_chestxray14,365.01,24083.17,0.161419,1.5780715396578543e-05,0.91677,553.9,0.1156
193,1,pretrain_chestxray14,365.2,23968.88,0.107333,1.5857698289269056e-05,1.845055,619.8,0.1033
194,1,pretrain_chestxray14,375.8,24535.32,0.179814,1.593468118195957e-05,1.3657,556.5,0.115
195,1,pretrain_chestxray14,380.75,24729.47,0.110267,1.6011664074650084e-05,0.971186,477.8,0.1339
196,1,pretrain_chestxray14,380.97,24615.14,0.191546,1.6088646967340597e-05,1.846957,539.6,0.1186
197,1,pretrain_chestxray14,381.34,24512.19,0.180686,1.6165629860031107e-05,1.702908,589.9,0.1085
198,1,pretrain_chestxray14,382.0,24428.63,0.186265,1.624261275272162e-05,2.438853,624.7,0.1024
199,1,pretrain_chestxray14,382.2,24316.73,0.187189,1.6319595645412135e-05,2.173844,624.3,0.1025
200,1,pretrain_chestxray14,382.4,24206.23,0.141154,1.6396578538102648e-05,1.06637,602.8,0.1062
201,1,pretrain_chestxray14,382.6,24096.49,0.186279,1.6473561430793162e-05,1.139686,630.6,0.1015
202,1,pretrain_chestxray14,382.81,23988.31,0.196142,1.6550544323483675e-05,1.544298,591.6,0.1082
203,1,pretrain_chestxray14,383.01,23880.35,0.189641,1.662752721617419e-05,1.944631,630.6,0.1015
204,1,pretrain_chestxray14,383.21,23773.84,0.158685,1.67045101088647e-05,1.968663,631.7,0.1013
205,1,pretrain_chestxray14,387.36,23912.47,0.136476,1.6781493001555213e-05,2.878504,582.2,0.1099
206,1,pretrain_chestxray14,387.58,23808.08,0.155079,1.6858475894245726e-05,1.812381,638.2,0.1003
207,1,pretrain_chestxray14,387.79,23703.62,0.175668,1.693545878693624e-05,1.50286,621.3,0.103
208,1,pretrain_chestxray14,387.99,23600.42,0.209672,1.7012441679626754e-05,2.055643,584.5,0.1095
209,1,pretrain_chestxray14,388.19,23497.87,0.125456,1.7089424572317267e-05,1.272391,613.2,0.1044
210,1,pretrain_chestxray14,396.49,23883.65,0.127869,1.716640746500778e-05,1.706599,584.6,0.1095
211,1,pretrain_chestxray14,403.18,24169.6,0.135211,1.7243390357698294e-05,2.084698,551.1,0.1161
212,1,pretrain_chestxray14,403.4,24066.78,0.167264,1.7320373250388808e-05,1.890338,574.5,0.1114
213,1,pretrain_chestxray14,404.07,23991.94,0.169045,1.7397356143079318e-05,1.841678,590.0,0.1085
214,1,pretrain_chestxray14,405.01,23933.28,0.107542,1.747433903576983e-05,0.938599,628.7,0.1018
215,1,pretrain_chestxray14,405.21,23831.99,0.176874,1.7551321928460342e-05,1.904555,615.3,0.104
216,1,pretrain_chestxray14,405.41,23731.37,0.173087,1.7628304821150852e-05,1.88487,634.3,0.1009
217,1,pretrain_chestxray14,405.61,23631.93,0.179007,1.7705287713841362e-05,1.765711,622.1,0.1029
218,1,pretrain_chestxray14,405.82,23534.0,0.221238,1.7782270606531876e-05,2.736252,557.8,0.1147
219,1,pretrain_chestxray14,406.02,23435.82,0.140872,1.785925349922239e-05,1.195575,608.3,0.1052
220,1,pretrain_chestxray14,406.22,23338.97,0.15867,1.7936236391912903e-05,1.682604,612.6,0.1045
221,1,pretrain_chestxray14,410.71,23488.38,0.148856,1.8013219284603413e-05,1.376292,568.8,0.1125
222,1,pretrain_chestxray14,410.93,23393.59,0.133715,1.8090202177293927e-05,2.375055,607.6,0.1053
223,1,pretrain_chestxray14,411.13,23298.08,0.142615,1.816718506998444e-05,1.31177,623.3,0.1027
224,1,pretrain_chestxray14,411.33,23203.51,0.162235,1.8244167962674954e-05,1.818652,626.3,0.1022
225,1,pretrain_chestxray14,411.53,23109.75,0.157461,1.8321150855365468e-05,1.115914,637.2,0.1004
226,1,pretrain_chestxray14,418.26,23381.58,0.253965,1.839813374805598e-05,4.540828,533.6,0.1199
227,1,pretrain_chestxray14,426.02,23708.65,0.197114,1.8475116640746495e-05,1.44528,460.5,0.139
228,1,pretrain_chestxray14,426.26,23616.19,0.155027,1.855209953343701e-05,1.377529,462.1,0.1385
229,1,pretrain_chestxray14,426.54,23526.84,0.154618,1.8629082426127522e-05,1.881952,607.6,0.1053
230,1,pretrain_chestxray14,427.21,23459.48,0.12937,1.8706065318818036e-05,2.365018,525.0,0.1219
231,1,pretrain_chestxray14,427.4,23366.39,0.15682,1.878304821150855e-05,2.773128,587.3,0.109
232,1,pretrain_chestxray14,427.6,23274.96,0.252585,1.8860031104199063e-05,2.31331,572.0,0.1119
233,1,pretrain_chestxray14,427.82,23184.77,0.137598,1.8937013996889577e-05,3.781952,514.0,0.1245
234,1,pretrain_chestxray14,428.02,23095.01,0.122738,1.901399688958009e-05,2.803174,574.1,0.1115
235,1,pretrain_chestxray14,429.68,23083.76,0.191693,1.9090979782270604e-05,1.901376,627.4,0.102
236,1,pretrain_chestxray14,429.89,22995.4,0.156956,1.9167962674961117e-05,1.814479,569.9,0.1123
237,1,pretrain_chestxray14,433.24,23075.09,0.157444,1.9244945567651628e-05,1.402164,561.9,0.1139
238,1,pretrain_chestxray14,433.47,22988.28,0.212172,1.932192846034214e-05,2.660964,620.3,0.1032
239,1,pretrain_chestxray14,433.67,22900.88,0.147345,1.939891135303265e-05,1.815039,625.3,0.1023
240,1,pretrain_chestxray14,433.87,22814.27,0.14074,1.947589424572316e-05,1.982246,613.2,0.1044
241,1,pretrain_chestxray14,434.08,22728.87,0.134513,1.9552877138413675e-05,1.258368,585.5,0.1093
242,1,pretrain_chestxray14,439.74,22928.25,0.157278,1.962986003110419e-05,1.370824,525.6,0.1218
243,1,pretrain_chestxray14,449.56,23341.93,0.177993,1.9706842923794702e-05,1.868845,546.3,0.1172
244,1,pretrain_chestxray14,449.79,23256.37,0.139899,1.9783825816485213e-05,1.23101,558.8,0.1145
245,1,pretrain_chestxray14,449.99,23169.8,0.144666,1.9860808709175726e-05,1.626089,589.1,0.1086
246,1,pretrain_chestxray14,450.19,23084.09,0.180751,1.993779160186624e-05,2.498266,592.8,0.108
247,1,pretrain_chestxray14,450.39,22998.92,0.193762,2.001477449455675e-05,2.143938,607.7,0.1053
248,1,pretrain_chestxray14,450.59,22914.45,0.144742,2.009175738724726e-05,2.313657,622.4,0.1028
249,1,pretrain_chestxray14,450.8,22831.32,0.192941,2.0168740279937774e-05,1.500799,568.3,0.1126
250,1,pretrain_chestxray14,451.01,22748.81,0.178,2.0245723172628284e-05,1.520378,541.5,0.1182
251,1,pretrain_chestxray14,451.2,22665.88,0.153525,2.0322706065318797e-05,1.585683,623.3,0.1027
252,1,pretrain_chestxray14,451.4,22584.17,0.176577,2.039968895800931e-05,1.174782,629.3,0.1017
253,1,pretrain_chestxray14,455.49,22696.84,0.137357,2.047667185069982e-05,1.657165,564.8,0.1133
254,1,pretrain_chestxray14,455.7,22616.22,0.212362,2.0553654743390335e-05,2.092596,627.4,0.102
255,1,pretrain_chestxray14,455.9,22535.72,0.225026,2.063063763608085e-05,1.780816,622.3,0.1028
